#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,domain,entity_id
,,0,2025-07-22T00:00:00Z,2025-07-22T23:59:59Z,2025-07-22T00:00:07.223108Z,-9.71485996246338,value,m/s²,sensor,fridge_black_accel_x
,,0,2025-07-22T00:00:00Z,2025-07-22T23:59:59Z,2025-07-22T00:01:07.225129Z,-9.6861457824707,value,m/s²,sensor,fridge_black_accel_x
,,0,2025-07-22T00:00:00Z,2025-07-22T23:59:59Z,2025-07-22T00:02:07.227216Z,-9.73878765106201,value,m/s²,sensor,fridge_black_accel_x
,,0,2025-07-22T00:00:00Z,2025-07-22T23:59:59Z,2025-07-22T00:03:07.224242Z,-9.76510906219482,value,m/s²,sensor,fridge_black_accel_x
,,0,2025-07-22T00:00:00Z,2025-07-22T23:59:59Z,2025-07-22T00:04:07.224836Z,-9.7938232421875,value,m/s²,sensor,fridge_black_accel_x
,,0,2025-07-22T00:00:00Z,2025-07-22T23:59:59Z,2025-07-22T00:05:07.225367Z,-9.8536434173584,value,m/s²,sensor,fridge_black_accel_x
,,0,2025-07-22T00:00:00Z,2025-07-22T23:59:59Z,2025-07-22T00:06:07.232374Z,-9.6670036315918,value,m/s²,sensor,fridge_black_accel_x
,,0,2025-07-22T00:00:00Z,2025-07-22T23:59:59Z,2025-07-22T00:07:07.229468Z,-9.68853855133057,value,m/s²,sensor,fridge_black_accel_x
,,0,2025-07-22T00:00:00Z,2025-07-22T23:59:59Z,2025-07-22T00:08:07.229817Z,-9.82492923736572,value,m/s²,sensor,fridge_black_accel_x
,,0,2025-07-22T00:00:00Z,2025-07-22T23:59:59Z,2025-07-22T00:09:07.228911Z,-9.73400211334229,value,m/s²,sensor,fridge_black_accel_x
,,0,2025-07-22T00:00:00Z,2025-07-22T23:59:59Z,2025-07-22T00:10:07.23171Z,-9.71246719360352,value,m/s²,sensor,fridge_black_accel_x
,,0,2025-07-22T00:00:00Z,2025-07-22T23:59:59Z,2025-07-22T00:11:07.229444Z,-9.69093132019043,value,m/s²,sensor,fridge_black_accel_x
,,0,2025-07-22T00:00:00Z,2025-07-22T23:59:59Z,2025-07-22T00:12:07.233821Z,-9.7603235244751,value,m/s²,sensor,fridge_black_accel_x
